city_id,city_name,species_id,species_name,pass2_disposition,evidence_grade,annual_peak_score,status
pentwater_mi,Pentwater,chinook_salmon,Chinook salmon,numeric_private,A,7.5,PRIVATE_NUMERIC
pentwater_mi,Pentwater,coho_salmon,Coho salmon,numeric_private,A,7.2,PRIVATE_NUMERIC
pentwater_mi,Pentwater,steelhead,Steelhead / rainbow trout,numeric_private,A,8.3,PRIVATE_NUMERIC
pentwater_mi,Pentwater,brown_trout,Brown trout,numeric_private,A,7.3,PRIVATE_NUMERIC
pentwater_mi,Pentwater,lake_trout,Lake trout,research_hold_unscored,C,,UNSCORED
pentwater_mi,Pentwater,walleye,Walleye,numeric_private,B,4.4,PRIVATE_NUMERIC
pentwater_mi,Pentwater,smallmouth_bass,Smallmouth bass,numeric_private,A,6.4,PRIVATE_NUMERIC
pentwater_mi,Pentwater,freshwater_drum,Freshwater drum,numeric_private,B,5.4,PRIVATE_NUMERIC
pentwater_mi,Pentwater,yellow_perch,Yellow perch,numeric_private,A,7.8,PRIVATE_NUMERIC
pentwater_mi,Pentwater,lake_whitefish,Lake whitefish,research_hold_unscored,C,,UNSCORED
pentwater_mi,Pentwater,round_whitefish,Round whitefish,research_hold_unscored,C,,UNSCORED
pentwater_mi,Pentwater,channel_catfish,Channel catfish,research_hold_unscored,C,,UNSCORED
pentwater_mi,Pentwater,largemouth_bass,Largemouth bass,research_hold_unscored,C,,UNSCORED
pentwater_mi,Pentwater,atlantic_salmon,Atlantic salmon,exclude_unscored,D,,UNSCORED
pentwater_mi,Pentwater,northern_pike,Northern pike,research_hold_unscored,C,,UNSCORED
pentwater_mi,Pentwater,burbot,Burbot,exclude_unscored,D,,UNSCORED
pentwater_mi,Pentwater,white_perch,White perch,exclude_unscored,D,,UNSCORED
pentwater_mi,Pentwater,white_bass,White bass,exclude_unscored,D,,UNSCORED
rogers_city_mi,Rogers City,chinook_salmon,Chinook salmon,numeric_private,B,6,PRIVATE_NUMERIC
rogers_city_mi,Rogers City,coho_salmon,Coho salmon,research_hold_unscored,C,,UNSCORED
rogers_city_mi,Rogers City,steelhead,Steelhead / rainbow trout,numeric_private,B,6,PRIVATE_NUMERIC
rogers_city_mi,Rogers City,brown_trout,Brown trout,numeric_private,A,5.8,PRIVATE_NUMERIC
rogers_city_mi,Rogers City,lake_trout,Lake trout,numeric_private,B,5.1,PRIVATE_NUMERIC
rogers_city_mi,Rogers City,walleye,Walleye,numeric_private,B,5.5,PRIVATE_NUMERIC
rogers_city_mi,Rogers City,smallmouth_bass,Smallmouth bass,numeric_private,B,6.5,PRIVATE_NUMERIC
rogers_city_mi,Rogers City,freshwater_drum,Freshwater drum,exclude_unscored,D,,UNSCORED
rogers_city_mi,Rogers City,yellow_perch,Yellow perch,research_hold_unscored,C,,UNSCORED
rogers_city_mi,Rogers City,lake_whitefish,Lake whitefish,exclude_unscored,D,,UNSCORED
rogers_city_mi,Rogers City,round_whitefish,Round whitefish,exclude_unscored,D,,UNSCORED
