cityId,speciesId,week,midpointDate,scenarioTemperatureC,seasonalRating,thermalFit,hypotheticalScore,status
ludington_mi,smallmouth_bass,1,2025-01-04,2,1.500000,0.400000,1.300000,hypothetical_research_only
ludington_mi,smallmouth_bass,1,2025-01-04,6,1.500000,0.525000,1.346875,hypothetical_research_only
ludington_mi,smallmouth_bass,1,2025-01-04,10,1.500000,0.675000,1.403125,hypothetical_research_only
ludington_mi,smallmouth_bass,1,2025-01-04,14,1.500000,0.825000,1.459375,hypothetical_research_only
ludington_mi,smallmouth_bass,1,2025-01-04,18,1.500000,0.950000,1.506250,hypothetical_research_only
ludington_mi,smallmouth_bass,1,2025-01-04,22,1.500000,1.000000,1.525000,hypothetical_research_only
ludington_mi,smallmouth_bass,1,2025-01-04,26,1.500000,1.000000,1.525000,hypothetical_research_only
ludington_mi,smallmouth_bass,1,2025-01-04,30,1.500000,0.766667,1.437500,hypothetical_research_only
ludington_mi,smallmouth_bass,2,2025-01-11,2,1.500000,0.400000,1.300000,hypothetical_research_only
ludington_mi,smallmouth_bass,2,2025-01-11,6,1.500000,0.525000,1.346875,hypothetical_research_only
ludington_mi,smallmouth_bass,2,2025-01-11,10,1.500000,0.675000,1.403125,hypothetical_research_only
ludington_mi,smallmouth_bass,2,2025-01-11,14,1.500000,0.825000,1.459375,hypothetical_research_only
ludington_mi,smallmouth_bass,2,2025-01-11,18,1.500000,0.950000,1.506250,hypothetical_research_only
ludington_mi,smallmouth_bass,2,2025-01-11,22,1.500000,1.000000,1.525000,hypothetical_research_only
ludington_mi,smallmouth_bass,2,2025-01-11,26,1.500000,1.000000,1.525000,hypothetical_research_only
ludington_mi,smallmouth_bass,2,2025-01-11,30,1.500000,0.766667,1.437500,hypothetical_research_only
ludington_mi,smallmouth_bass,3,2025-01-18,2,1.500000,0.400000,1.300000,hypothetical_research_only
ludington_mi,smallmouth_bass,3,2025-01-18,6,1.500000,0.525000,1.346875,hypothetical_research_only
ludington_mi,smallmouth_bass,3,2025-01-18,10,1.500000,0.675000,1.403125,hypothetical_research_only
ludington_mi,smallmouth_bass,3,2025-01-18,14,1.500000,0.825000,1.459375,hypothetical_research_only
ludington_mi,smallmouth_bass,3,2025-01-18,18,1.500000,0.950000,1.506250,hypothetical_research_only
ludington_mi,smallmouth_bass,3,2025-01-18,22,1.500000,1.000000,1.525000,hypothetical_research_only
ludington_mi,smallmouth_bass,3,2025-01-18,26,1.500000,1.000000,1.525000,hypothetical_research_only
ludington_mi,smallmouth_bass,3,2025-01-18,30,1.500000,0.766667,1.437500,hypothetical_research_only
ludington_mi,smallmouth_bass,4,2025-01-25,2,1.500000,0.400000,1.300000,hypothetical_research_only
ludington_mi,smallmouth_bass,4,2025-01-25,6,1.500000,0.525000,1.346875,hypothetical_research_only
ludington_mi,smallmouth_bass,4,2025-01-25,10,1.500000,0.675000,1.403125,hypothetical_research_only
ludington_mi,smallmouth_bass,4,2025-01-25,14,1.500000,0.825000,1.459375,hypothetical_research_only
ludington_mi,smallmouth_bass,4,2025-01-25,18,1.500000,0.950000,1.506250,hypothetical_research_only
ludington_mi,smallmouth_bass,4,2025-01-25,22,1.500000,1.000000,1.525000,hypothetical_research_only
ludington_mi,smallmouth_bass,4,2025-01-25,26,1.500000,1.000000,1.525000,hypothetical_research_only
ludington_mi,smallmouth_bass,4,2025-01-25,30,1.500000,0.766667,1.437500,hypothetical_research_only
ludington_mi,smallmouth_bass,5,2025-02-01,2,1.500000,0.400000,1.300000,hypothetical_research_only
ludington_mi,smallmouth_bass,5,2025-02-01,6,1.500000,0.525000,1.346875,hypothetical_research_only
ludington_mi,smallmouth_bass,5,2025-02-01,10,1.500000,0.675000,1.403125,hypothetical_research_only
ludington_mi,smallmouth_bass,5,2025-02-01,14,1.500000,0.825000,1.459375,hypothetical_research_only
ludington_mi,smallmouth_bass,5,2025-02-01,18,1.500000,0.950000,1.506250,hypothetical_research_only
ludington_mi,smallmouth_bass,5,2025-02-01,22,1.500000,1.000000,1.525000,hypothetical_research_only
ludington_mi,smallmouth_bass,5,2025-02-01,26,1.500000,1.000000,1.525000,hypothetical_research_only
ludington_mi,smallmouth_bass,5,2025-02-01,30,1.500000,0.766667,1.437500,hypothetical_research_only
ludington_mi,smallmouth_bass,6,2025-02-08,2,1.500000,0.400000,1.300000,hypothetical_research_only
ludington_mi,smallmouth_bass,6,2025-02-08,6,1.500000,0.525000,1.346875,hypothetical_research_only
ludington_mi,smallmouth_bass,6,2025-02-08,10,1.500000,0.675000,1.403125,hypothetical_research_only
ludington_mi,smallmouth_bass,6,2025-02-08,14,1.500000,0.825000,1.459375,hypothetical_research_only
ludington_mi,smallmouth_bass,6,2025-02-08,18,1.500000,0.950000,1.506250,hypothetical_research_only
ludington_mi,smallmouth_bass,6,2025-02-08,22,1.500000,1.000000,1.525000,hypothetical_research_only
ludington_mi,smallmouth_bass,6,2025-02-08,26,1.500000,1.000000,1.525000,hypothetical_research_only
ludington_mi,smallmouth_bass,6,2025-02-08,30,1.500000,0.766667,1.437500,hypothetical_research_only
ludington_mi,smallmouth_bass,7,2025-02-15,2,1.500000,0.400000,1.300000,hypothetical_research_only
ludington_mi,smallmouth_bass,7,2025-02-15,6,1.500000,0.525000,1.346875,hypothetical_research_only
ludington_mi,smallmouth_bass,7,2025-02-15,10,1.500000,0.675000,1.403125,hypothetical_research_only
ludington_mi,smallmouth_bass,7,2025-02-15,14,1.500000,0.825000,1.459375,hypothetical_research_only
ludington_mi,smallmouth_bass,7,2025-02-15,18,1.500000,0.950000,1.506250,hypothetical_research_only
ludington_mi,smallmouth_bass,7,2025-02-15,22,1.500000,1.000000,1.525000,hypothetical_research_only
ludington_mi,smallmouth_bass,7,2025-02-15,26,1.500000,1.000000,1.525000,hypothetical_research_only
ludington_mi,smallmouth_bass,7,2025-02-15,30,1.500000,0.766667,1.437500,hypothetical_research_only
ludington_mi,smallmouth_bass,8,2025-02-22,2,1.500000,0.400000,1.300000,hypothetical_research_only
ludington_mi,smallmouth_bass,8,2025-02-22,6,1.500000,0.525000,1.346875,hypothetical_research_only
ludington_mi,smallmouth_bass,8,2025-02-22,10,1.500000,0.675000,1.403125,hypothetical_research_only
ludington_mi,smallmouth_bass,8,2025-02-22,14,1.500000,0.825000,1.459375,hypothetical_research_only
ludington_mi,smallmouth_bass,8,2025-02-22,18,1.500000,0.950000,1.506250,hypothetical_research_only
ludington_mi,smallmouth_bass,8,2025-02-22,22,1.500000,1.000000,1.525000,hypothetical_research_only
ludington_mi,smallmouth_bass,8,2025-02-22,26,1.500000,1.000000,1.525000,hypothetical_research_only
ludington_mi,smallmouth_bass,8,2025-02-22,30,1.500000,0.766667,1.437500,hypothetical_research_only
ludington_mi,smallmouth_bass,9,2025-03-01,2,1.500000,0.400000,1.300000,hypothetical_research_only
ludington_mi,smallmouth_bass,9,2025-03-01,6,1.500000,0.525000,1.346875,hypothetical_research_only
ludington_mi,smallmouth_bass,9,2025-03-01,10,1.500000,0.675000,1.403125,hypothetical_research_only
ludington_mi,smallmouth_bass,9,2025-03-01,14,1.500000,0.825000,1.459375,hypothetical_research_only
ludington_mi,smallmouth_bass,9,2025-03-01,18,1.500000,0.950000,1.506250,hypothetical_research_only
ludington_mi,smallmouth_bass,9,2025-03-01,22,1.500000,1.000000,1.525000,hypothetical_research_only
ludington_mi,smallmouth_bass,9,2025-03-01,26,1.500000,1.000000,1.525000,hypothetical_research_only
ludington_mi,smallmouth_bass,9,2025-03-01,30,1.500000,0.766667,1.437500,hypothetical_research_only
ludington_mi,smallmouth_bass,10,2025-03-08,2,1.500000,0.400000,1.300000,hypothetical_research_only
ludington_mi,smallmouth_bass,10,2025-03-08,6,1.500000,0.525000,1.346875,hypothetical_research_only
ludington_mi,smallmouth_bass,10,2025-03-08,10,1.500000,0.675000,1.403125,hypothetical_research_only
ludington_mi,smallmouth_bass,10,2025-03-08,14,1.500000,0.825000,1.459375,hypothetical_research_only
ludington_mi,smallmouth_bass,10,2025-03-08,18,1.500000,0.950000,1.506250,hypothetical_research_only
ludington_mi,smallmouth_bass,10,2025-03-08,22,1.500000,1.000000,1.525000,hypothetical_research_only
