city_id,species_id,species_name,stocking_searched,stocking_result,exact_port_creel_searched,exact_port_creel_result,weekly_reports_searched,management_documents_searched,exact_pier_evidence_found,connected_water_evidence_found,historical_evidence_found,current_evidence_found,pass1_disposition,unresolved_requirement
pentwater_mi,atlantic_salmon,Atlantic salmon,true,zero_records_in_target_county_for_species,true,0 positive estimate rows,true,true,false,false,false,false,exclude,Reopen in Pass 2 only if new exact covered-structure evidence resolves the reviewed gap; exclusion is not biological absence.
pentwater_mi,chinook_salmon,Chinook salmon,true,zero_records_in_target_county_for_species,true,21 positive estimate rows,true,true,true,false,true,false,research_candidate,Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
pentwater_mi,coho_salmon,Coho salmon,true,zero_records_in_target_county_for_species,true,25 positive estimate rows,true,true,true,false,true,false,research_candidate,Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
pentwater_mi,steelhead,Steelhead / rainbow trout,true,records_found,true,50 positive estimate rows,true,true,true,true,true,true,research_candidate,Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
pentwater_mi,brown_trout,Brown trout,true,records_found,true,30 positive estimate rows,true,true,true,true,true,false,research_candidate,Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
pentwater_mi,lake_trout,Lake trout,true,records_found,true,2 positive estimate rows,true,true,true,true,true,false,research_candidate,Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
pentwater_mi,pink_salmon,Pink salmon,true,zero_records_in_target_county_for_species,true,dashboard mapping reviewed; out-of-catalog rows retained separately,true,true,false,false,false,false,out_of_catalog_lead,Keep separate from the catalog; any future admission requires the full product contract and exact-structure review.
rogers_city_mi,atlantic_salmon,Atlantic salmon,true,zero_records_in_target_county_for_species,true,2 positive estimate rows,true,true,true,false,true,true,research_candidate,Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
rogers_city_mi,chinook_salmon,Chinook salmon,true,records_found,true,8 positive estimate rows,true,true,true,true,true,true,research_candidate,Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
rogers_city_mi,coho_salmon,Coho salmon,true,records_found,true,0 positive estimate rows,true,true,true,true,true,true,hold,Pass 2 must resolve exact covered-structure recurrence and mode before numeric admission.
rogers_city_mi,steelhead,Steelhead / rainbow trout,true,records_found,true,7 positive estimate rows,true,true,true,true,true,true,research_candidate,Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
rogers_city_mi,brown_trout,Brown trout,true,records_found,true,20 positive estimate rows,true,true,true,true,true,false,research_candidate,Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
rogers_city_mi,lake_trout,Lake trout,true,records_found,true,5 positive estimate rows,true,true,true,true,true,true,research_candidate,Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
rogers_city_mi,pink_salmon,Pink salmon,true,zero_records_in_target_county_for_species,true,dashboard mapping reviewed; out-of-catalog rows retained separately,true,true,false,false,false,false,out_of_catalog_lead,Keep separate from the catalog; any future admission requires the full product contract and exact-structure review.
tawas_city_mi,atlantic_salmon,Atlantic salmon,true,records_found,true,0 positive estimate rows,true,true,true,false,true,true,research_candidate,Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
tawas_city_mi,chinook_salmon,Chinook salmon,true,records_found,true,0 positive estimate rows,true,true,true,true,true,false,hold,Pass 2 must resolve exact covered-structure recurrence and mode before numeric admission.
tawas_city_mi,coho_salmon,Coho salmon,true,records_found,true,0 positive estimate rows,true,true,true,true,true,true,research_candidate,Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
tawas_city_mi,steelhead,Steelhead / rainbow trout,true,records_found,true,0 positive estimate rows,true,true,true,true,true,true,research_candidate,Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
tawas_city_mi,brown_trout,Brown trout,true,records_found,true,0 positive estimate rows,true,true,true,true,true,true,hold,Pass 2 must resolve exact covered-structure recurrence and mode before numeric admission.
tawas_city_mi,lake_trout,Lake trout,true,records_found,true,0 positive estimate rows,true,true,true,true,true,false,research_candidate,Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
tawas_city_mi,pink_salmon,Pink salmon,true,zero_records_in_target_county_for_species,true,dashboard mapping reviewed; out-of-catalog rows retained separately,true,true,false,false,false,false,out_of_catalog_lead,Keep separate from the catalog; any future admission requires the full product contract and exact-structure review.
charlevoix_mi,atlantic_salmon,Atlantic salmon,true,records_found,true,0 positive estimate rows,true,true,true,true,true,false,hold,Pass 2 must resolve exact covered-structure recurrence and mode before numeric admission.
charlevoix_mi,chinook_salmon,Chinook salmon,true,records_found,true,21 positive estimate rows,true,true,true,true,true,true,research_candidate,Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
charlevoix_mi,coho_salmon,Coho salmon,true,records_found,true,0 positive estimate rows,true,true,true,true,true,true,hold,Pass 2 must resolve exact covered-structure recurrence and mode before numeric admission.
charlevoix_mi,steelhead,Steelhead / rainbow trout,true,records_found,true,17 positive estimate rows,true,true,true,true,true,true,research_candidate,Pass 2 must quantify recurring intentional covered-structure opportunity without converting raw estimate sums or stocking into scores.
