cityId,cityName,speciesId,speciesName,pairKey,disposition,previousPeak,auditedPeak,change,evidenceGrade,evidenceClass,rationale
ludington_mi,Ludington,chinook_salmon,Chinook Salmon,ludington_mi/chinook_salmon,numeric_retained,8.3,8.3,0,A,MI_DNR_PIER_DOCK_CREEL_AND_LOCAL,Retained: Grade A local Michigan Pier/Dock catch rate and multi-year recurrence independently support the current peak.
ludington_mi,Ludington,coho_salmon,Coho Salmon,ludington_mi/coho_salmon,numeric_retained,5.6,5.6,0,A,MI_DNR_PIER_DOCK_CREEL_AND_LOCAL,Retained: Grade A local Michigan Pier/Dock catch rate and multi-year recurrence independently support the current peak.
ludington_mi,Ludington,steelhead,Steelhead,ludington_mi/steelhead,numeric_retained,8.1,8.1,0,A,MI_DNR_PIER_DOCK_CREEL_AND_LOCAL,Retained: Grade A local Michigan Pier/Dock catch rate and multi-year recurrence independently support the current peak.
ludington_mi,Ludington,brown_trout,Brown Trout,ludington_mi/brown_trout,numeric_retained,7.6,7.6,0,A,MI_DNR_PIER_DOCK_CREEL_AND_LOCAL,Retained: Grade A local Michigan Pier/Dock catch rate and multi-year recurrence independently support the current peak.
ludington_mi,Ludington,lake_trout,Lake Trout,ludington_mi/lake_trout,numeric_retained,3.8,3.8,0,B,MI_DNR_PIER_DOCK_CREEL_AND_LOCAL,"Retained: local Michigan Pier/Dock catch rate and recurrence support the present within-species placement; the lower peak is measured scarcity, not a confidence penalty."
ludington_mi,Ludington,freshwater_drum,Freshwater Drum,ludington_mi/freshwater_drum,numeric_retained,5,5,0,B,MI_DNR_PIER_DOCK_CREEL_AND_LOCAL,"Retained: local Michigan Pier/Dock catch rate and recurrence support the present within-species placement; the lower peak is measured scarcity, not a confidence penalty."
grand_haven_mi,Grand Haven,chinook_salmon,Chinook Salmon,grand_haven_mi/chinook_salmon,numeric_retained,7.8,7.8,0,A,MI_DNR_PIER_DOCK_CREEL_AND_LOCAL,Retained: Grade A local Michigan Pier/Dock catch rate and multi-year recurrence independently support the current peak.
grand_haven_mi,Grand Haven,coho_salmon,Coho Salmon,grand_haven_mi/coho_salmon,numeric_retained,8.8,8.8,0,A,MI_DNR_PIER_DOCK_CREEL_AND_LOCAL,Retained: Grade A local Michigan Pier/Dock catch rate and multi-year recurrence independently support the current peak.
grand_haven_mi,Grand Haven,steelhead,Steelhead,grand_haven_mi/steelhead,numeric_retained,9.2,9.2,0,A,MI_DNR_PIER_DOCK_CREEL_AND_LOCAL,Retained: Grade A local Michigan Pier/Dock catch rate and multi-year recurrence independently support the current peak.
grand_haven_mi,Grand Haven,brown_trout,Brown Trout,grand_haven_mi/brown_trout,numeric_retained,7.6,7.6,0,A,MI_DNR_PIER_DOCK_CREEL_AND_LOCAL,Retained: Grade A local Michigan Pier/Dock catch rate and multi-year recurrence independently support the current peak.
