city_id,city_name,species_id,species_name,current_live,disposition,evidence_grade,proposed_mode_ids,evidence_ids,rationale,pass2_treatment
harbor_beach_mi,Harbor Beach,atlantic_salmon,Atlantic Salmon,false,admit,B,spring_coldwater_pier|fall_harbor_return,EXP_MI_LH_ROADMAP|EXP_MI_REGS_2026,"DNR explicitly identifies Atlantic salmon as a Harbor Beach spring and fall port target. Port-level rather than catch-rate evidence requires moderate ceilings.",add_existing_species_profile_and_modes
harbor_beach_mi,Harbor Beach,steelhead,Steelhead,false,admit,B,coolwater_port_opportunity,EXP_MI_LH_ROADMAP|EXP_HB_SHALLOW_2022|EXP_HB_STEELHEAD_2014|EXP_MI_REGS_2026,"DNR identifies steelhead across spring summer and fall; exact shore-target evidence and shallow nearshore corroboration support accessibility without claiming offshore magnitude.",add_existing_species_profile_and_modes
harbor_beach_mi,Harbor Beach,lake_trout,Lake Trout,false,admit,B,reachable_coldwater_port,EXP_MI_LH_ROADMAP|EXP_HB_SHALLOW_2022|EXP_MI_REGS_2026,"Lake trout is a recurring DNR port target from spring through fall. The unified mode keeps summer availability episodic while preserving stronger spring and fall shoulders.",add_existing_species_profile_and_modes
harbor_beach_mi,Harbor Beach,walleye,Walleye,false,admit,A,warm_season_low_light_breakwall,EXP_MI_LH_ROADMAP|EXP_HB_WALLEYE_2018|EXP_HB_WALLEYE_2021|EXP_MI_REGS_2026,"Repeated exact breakwall catches plus the DNR roadmap establish a recurring low-light walleye fishery from spring through fall.",add_existing_species_profile_and_mode
harbor_beach_mi,Harbor Beach,northern_pike,Northern Pike,false,admit,B,warm_season_harbor,EXP_HB_2025_09_17|EXP_MI_REGS_2026,"A recent Michigan DNR report documents exact harbor/breakwall catches and supports a bounded warm-season harbor fishery. A low ceiling reflects limited multi-year recurrence.",add_existing_species_profile_and_mode
harbor_beach_mi,Harbor Beach,brown_trout,Brown Trout,false,defer,C,,EXP_HB_BROWN_2013|EXP_MI_LH_ROADMAP,"An old occasional Harbor Beach breakwall report establishes occurrence but the current DNR roadmap does not list brown trout there and repeated public-harbor target evidence is absent.",no_numeric_score
harbor_beach_mi,Harbor Beach,chinook_salmon,Chinook Salmon,false,defer,C,,EXP_MI_LH_ROADMAP,"Recent Harbor Beach Chinook observations are boat-oriented and the DNR port roadmap does not list Chinook at Harbor Beach. Pier/harbor targetability is not established.",no_numeric_score
harbor_beach_mi,Harbor Beach,lake_whitefish,Lake Whitefish,false,exclude,D,,EXP_MI_BETTER_WATERS,"A current commercial trap-net fishery exists outside shore casting range, but no source establishes a recurring recreational pier/breakwall target at Harbor Beach.",no_numeric_score
harbor_beach_mi,Harbor Beach,yellow_perch,Yellow Perch,false,exclude,D,,EXP_MI_BETTER_WATERS,"No reviewed source establishes a recurring Harbor Beach public-pier yellow-perch target.",no_numeric_score
oscoda_mi,Oscoda,northern_pike,Northern Pike,false,admit,B,spring_river_mouth|fall_lower_river_mouth,EXP_MI_LH_ROADMAP|EXP_OSC_2022_09_28|EXP_MI_REGS_2026,"The DNR roadmap identifies spring pike and a dated report confirms lower-river/mouth catches in fall, both inside the city-harbor product boundary.",add_existing_species_profile_and_modes
oscoda_mi,Oscoda,lake_whitefish,Lake Whitefish,false,defer,C,,EXP_MI_BETTER_WATERS,"DNR identifies Lake Huron at Oscoda as good lake-whitefish water, but no reviewed source establishes recurring pier/catwalk or immediate-mouth targeting or local seasonal magnitude.",no_numeric_score
oscoda_mi,Oscoda,brown_trout,Brown Trout,false,defer,C,,EXP_OSC_2024_04_17|EXP_MI_LH_ROADMAP,"A spring pier catch establishes occurrence, but the DNR port roadmap omits brown trout and repeated target evidence is missing.",no_numeric_score
oscoda_mi,Oscoda,yellow_perch,Yellow Perch,false,defer,C,,EXP_MI_BETTER_WATERS,"Yellow perch is listed for the Au Sable River inventory, not the Lake Huron Oscoda entry; exact lower-river/pier recurrence and magnitude remain unresolved.",no_numeric_score
