species_id,month,shared_biological_context,month_evidence_state,evidence_basis,local_occurrence_status,input_limitation,profile_disposition,evidence_ids,researched_at,production_ready
chinook_salmon,january,LF?,absent_biology_evidence,lake_michigan_field_plus_agency,separate_city_matrix,unvalidated_pier_reachable_water,proposed_context_not_scoring_curve,T001;T006,2026-09-09,false
chinook_salmon,february,LF?,absent_biology_evidence,lake_michigan_field_plus_agency,separate_city_matrix,unvalidated_pier_reachable_water,proposed_context_not_scoring_curve,T001;T006,2026-09-09,false
chinook_salmon,march,LF,sourced_biology,lake_michigan_field_plus_agency,separate_city_matrix,unvalidated_pier_reachable_water,proposed_context_not_scoring_curve,T001;T006,2026-09-09,false
chinook_salmon,april,LF/SN,sourced_biology,lake_michigan_field_plus_agency,separate_city_matrix,unvalidated_pier_reachable_water,proposed_context_not_scoring_curve,T001;T006,2026-09-09,false
chinook_salmon,may,LF/SN,sourced_biology,lake_michigan_field_plus_agency,separate_city_matrix,unvalidated_pier_reachable_water,proposed_context_not_scoring_curve,T001;T006,2026-09-09,false
chinook_salmon,june,LF,sourced_biology,lake_michigan_field_plus_agency,separate_city_matrix,unvalidated_pier_reachable_water,proposed_context_not_scoring_curve,T001;T006,2026-09-09,false
chinook_salmon,july,DS/LF,sourced_biology,lake_michigan_field_plus_agency,separate_city_matrix,unvalidated_pier_reachable_water,proposed_context_not_scoring_curve,T001;T006,2026-09-09,false
chinook_salmon,august,LF/MR,sourced_biology,lake_michigan_field_plus_agency,separate_city_matrix,unvalidated_pier_reachable_water,proposed_context_not_scoring_curve,T001;T006,2026-09-09,false
chinook_salmon,september,MR,sourced_biology,lake_michigan_field_plus_agency,separate_city_matrix,unvalidated_pier_reachable_water,proposed_context_not_scoring_curve,T001;T006,2026-09-09,false
chinook_salmon,october,MR/LF,sourced_biology,lake_michigan_field_plus_agency,separate_city_matrix,unvalidated_pier_reachable_water,proposed_context_not_scoring_curve,T001;T006,2026-09-09,false
chinook_salmon,november,LF?,absent_biology_evidence,lake_michigan_field_plus_agency,separate_city_matrix,unvalidated_pier_reachable_water,proposed_context_not_scoring_curve,T001;T006,2026-09-09,false
chinook_salmon,december,LF?,absent_biology_evidence,lake_michigan_field_plus_agency,separate_city_matrix,unvalidated_pier_reachable_water,proposed_context_not_scoring_curve,T001;T006,2026-09-09,false
coho_salmon,january,LF?,absent_biology_evidence,lake_michigan_agency_plus_historical_synthesis,separate_city_matrix,unvalidated_pier_reachable_water,proposed_context_not_scoring_curve,T002;T008;T013,2026-09-09,false
coho_salmon,february,LF?,absent_biology_evidence,lake_michigan_agency_plus_historical_synthesis,separate_city_matrix,unvalidated_pier_reachable_water,proposed_context_not_scoring_curve,T002;T008;T013,2026-09-09,false
coho_salmon,march,LF/SN,sourced_biology,lake_michigan_agency_plus_historical_synthesis,separate_city_matrix,unvalidated_pier_reachable_water,proposed_context_not_scoring_curve,T002;T008;T013,2026-09-09,false
coho_salmon,april,LF/SN,sourced_biology,lake_michigan_agency_plus_historical_synthesis,separate_city_matrix,unvalidated_pier_reachable_water,proposed_context_not_scoring_curve,T002;T008;T013,2026-09-09,false
coho_salmon,may,LF,sourced_biology,lake_michigan_agency_plus_historical_synthesis,separate_city_matrix,unvalidated_pier_reachable_water,proposed_context_not_scoring_curve,T002;T008;T013,2026-09-09,false
coho_salmon,june,LF,proposed_regional_transfer,lake_michigan_agency_plus_historical_synthesis,separate_city_matrix,unvalidated_pier_reachable_water,proposed_context_not_scoring_curve,T002;T008;T013,2026-09-09,false
coho_salmon,july,DS/LF,proposed_regional_transfer,lake_michigan_agency_plus_historical_synthesis,separate_city_matrix,unvalidated_pier_reachable_water,proposed_context_not_scoring_curve,T002;T008;T013,2026-09-09,false
coho_salmon,august,LF/MR,sourced_biology,lake_michigan_agency_plus_historical_synthesis,separate_city_matrix,unvalidated_pier_reachable_water,proposed_context_not_scoring_curve,T002;T008;T013,2026-09-09,false
coho_salmon,september,MR,sourced_biology,lake_michigan_agency_plus_historical_synthesis,separate_city_matrix,unvalidated_pier_reachable_water,proposed_context_not_scoring_curve,T002;T008;T013,2026-09-09,false
coho_salmon,october,MR,sourced_biology,lake_michigan_agency_plus_historical_synthesis,separate_city_matrix,unvalidated_pier_reachable_water,proposed_context_not_scoring_curve,T002;T008;T013,2026-09-09,false
coho_salmon,november,MR/LF,sourced_biology,lake_michigan_agency_plus_historical_synthesis,separate_city_matrix,unvalidated_pier_reachable_water,proposed_context_not_scoring_curve,T002;T008;T013,2026-09-09,false
coho_salmon,december,LF?,absent_biology_evidence,lake_michigan_agency_plus_historical_synthesis,separate_city_matrix,unvalidated_pier_reachable_water,proposed_context_not_scoring_curve,T002;T008;T013,2026-09-09,false
steelhead,january,RM/WA,sourced_biology,lake_michigan_study_plus_agency,separate_city_matrix,unvalidated_pier_reachable_water,proposed_context_not_scoring_curve,T003;T007;T009;T010;T032,2026-09-09,false
steelhead,february,RM/WA,sourced_biology,lake_michigan_study_plus_agency,separate_city_matrix,unvalidated_pier_reachable_water,proposed_context_not_scoring_curve,T003;T007;T009;T010;T032,2026-09-09,false
steelhead,march,RM/SP,sourced_biology,lake_michigan_study_plus_agency,separate_city_matrix,unvalidated_pier_reachable_water,proposed_context_not_scoring_curve,T003;T007;T009;T010;T032,2026-09-09,false
steelhead,april,SP/PR,sourced_biology,lake_michigan_study_plus_agency,separate_city_matrix,unvalidated_pier_reachable_water,proposed_context_not_scoring_curve,T003;T007;T009;T010;T032,2026-09-09,false
steelhead,may,PR/LF,sourced_biology,lake_michigan_study_plus_agency,separate_city_matrix,unvalidated_pier_reachable_water,proposed_context_not_scoring_curve,T003;T007;T009;T010;T032,2026-09-09,false
steelhead,june,LF,sourced_biology,lake_michigan_study_plus_agency,separate_city_matrix,unvalidated_pier_reachable_water,proposed_context_not_scoring_curve,T003;T007;T009;T010;T032,2026-09-09,false
steelhead,july,LF,sourced_biology,lake_michigan_study_plus_agency,separate_city_matrix,unvalidated_pier_reachable_water,proposed_context_not_scoring_curve,T003;T007;T009;T010;T032,2026-09-09,false
steelhead,august,LF/RM,sourced_biology,lake_michigan_study_plus_agency,separate_city_matrix,unvalidated_pier_reachable_water,proposed_context_not_scoring_curve,T003;T007;T009;T010;T032,2026-09-09,false
steelhead,september,RM,sourced_biology,lake_michigan_study_plus_agency,separate_city_matrix,unvalidated_pier_reachable_water,proposed_context_not_scoring_curve,T003;T007;T009;T010;T032,2026-09-09,false
steelhead,october,RM,sourced_biology,lake_michigan_study_plus_agency,separate_city_matrix,unvalidated_pier_reachable_water,proposed_context_not_scoring_curve,T003;T007;T009;T010;T032,2026-09-09,false
steelhead,november,RM/WA,sourced_biology,lake_michigan_study_plus_agency,separate_city_matrix,unvalidated_pier_reachable_water,proposed_context_not_scoring_curve,T003;T007;T009;T010;T032,2026-09-09,false
steelhead,december,RM/WA,sourced_biology,lake_michigan_study_plus_agency,separate_city_matrix,unvalidated_pier_reachable_water,proposed_context_not_scoring_curve,T003;T007;T009;T010;T032,2026-09-09,false
brown_trout,january,CF,proposed_regional_transfer,great_lakes_field_plus_conflicting_agency,separate_city_matrix,unvalidated_pier_reachable_water,proposed_context_not_scoring_curve,T004;T014;T015,2026-09-09,false
