cityId,speciesId,modeId,finalDisposition,evidenceGrade,sourceId,publisher,title,publicationDate,url,geography,fishingMode,timeResolution,claimType,permittedUse,prohibitedUse,limitations,registryPath
ludington_mi,chinook_salmon,,admit,A,F5,Michigan Department of Natural Resources,"June 3, 2026",2026-06-03,https://content.govdelivery.com/accounts/MIDNR/bulletins/41a3a94,,,,local_identity_timing_and_targetability,"Support species identity, local pier relevance, timing, method, or qualitative event strength as explicitly reported.",Do not convert one event into annual frequency or city CPUE.,Chinook from Manistee and Ludington piers.,docs/PierCast_Pilot_Cities_Research.md
ludington_mi,chinook_salmon,,admit,A,F6,Michigan Department of Natural Resources,"September 3, 2025",2025-09-03,https://content.govdelivery.com/accounts/MIDNR/bulletins/3f0b284,,,,local_identity_timing_and_targetability,"Support species identity, local pier relevance, timing, method, or qualitative event strength as explicitly reported.",Do not convert one event into annual frequency or city CPUE.,"Chinook pier catches at Manistee and Ludington, separately from trolling.",docs/PierCast_Pilot_Cities_Research.md
ludington_mi,chinook_salmon,,admit,A,F10,Michigan Department of Natural Resources,"September 25, 2024",2024-09-25,https://content.govdelivery.com/accounts/MIDNR/bulletins/3b7fd3a,,,,local_identity_timing_and_targetability,"Support species identity, local pier relevance, timing, method, or qualitative event strength as explicitly reported.",Do not convert one event into annual frequency or city CPUE.,Ludington stub-pier Chinook; Manistee pier Chinook; warm conditions/slow fishing retained as context.,docs/PierCast_Pilot_Cities_Research.md
ludington_mi,chinook_salmon,,admit,A,F41,Michigan Department of Natural Resources,"Michigan DNR, Aug. 21, 2024",2024-08-21,https://content.govdelivery.com/accounts/MIDNR/bulletins/3b02c05,,,,local_identity_timing_and_targetability,"Support species identity, local pier relevance, timing, method, or qualitative event strength as explicitly reported.",Do not convert one event into annual frequency or city CPUE.,Manistee and Ludington pier salmon timing,docs/PierCast_Core_Species_Seasonal_Calibration.md
ludington_mi,chinook_salmon,,admit,A,F43,Michigan Department of Natural Resources,"Michigan DNR, Aug. 5, 2026",2026-08-05,https://content.govdelivery.com/accounts/MIDNR/bulletins/423b34d,,,,local_identity_timing_and_targetability,"Support species identity, local pier relevance, timing, method, or qualitative event strength as explicitly reported.",Do not convert one event into annual frequency or city CPUE.,"Grand Haven, Manistee, and Ludington limited pier salmon/steelhead",docs/PierCast_Core_Species_Seasonal_Calibration.md
ludington_mi,chinook_salmon,,admit,A,F44,Michigan Department of Natural Resources,"Michigan DNR, Aug. 26, 2026",2026-08-26,https://content.govdelivery.com/accounts/MIDNR/bulletins/426de2b,,,,local_identity_timing_and_targetability,"Support species identity, local pier relevance, timing, method, or qualitative event strength as explicitly reported.",Do not convert one event into annual frequency or city CPUE.,"Harbor/pierhead salmon transition at Grand Haven, Manistee, and Ludington",docs/PierCast_Core_Species_Seasonal_Calibration.md
ludington_mi,chinook_salmon,,admit,A,F45,Michigan Department of Natural Resources,"Michigan DNR, Sept. 2, 2026",2026-09-02,https://content.govdelivery.com/accounts/MIDNR/bulletins/4280cb4,,,,local_identity_timing_and_targetability,"Support species identity, local pier relevance, timing, method, or qualitative event strength as explicitly reported.",Do not convert one event into annual frequency or city CPUE.,Warm-water suppression and staging-window location,docs/PierCast_Core_Species_Seasonal_Calibration.md
ludington_mi,chinook_salmon,spring_nearshore_transient,admit,A,T001,Wisconsin Department of Natural Resources,Wisconsin DNR Chinook salmon fact sheet,,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Species_chinooksalmon.pdf,,,,thermal_compatibility,Constrain the direction and breadth of shared species thermal compatibility.,Do not claim a measured pier bite probability or mode-specific response.,,docs/PierCast_Core_Temperature_and_Source_Calibration.md
ludington_mi,chinook_salmon,spring_nearshore_transient,admit,A,T006,Primary source named in registry,"Adlerstein et al., Lake Michigan Chinook movement and assessment catch",,https://academic.oup.com/tafs/article/137/3/736/7888693,,,,thermal_compatibility,Constrain the direction and breadth of shared species thermal compatibility.,Do not claim a measured pier bite probability or mode-specific response.,,docs/PierCast_Core_Temperature_and_Source_Calibration.md
ludington_mi,chinook_salmon,summer_coldwater_access,admit,A,T001,Wisconsin Department of Natural Resources,Wisconsin DNR Chinook salmon fact sheet,,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Species_chinooksalmon.pdf,,,,thermal_compatibility,Constrain the direction and breadth of shared species thermal compatibility.,Do not claim a measured pier bite probability or mode-specific response.,,docs/PierCast_Core_Temperature_and_Source_Calibration.md
ludington_mi,chinook_salmon,summer_coldwater_access,admit,A,T006,Primary source named in registry,"Adlerstein et al., Lake Michigan Chinook movement and assessment catch",,https://academic.oup.com/tafs/article/137/3/736/7888693,,,,thermal_compatibility,Constrain the direction and breadth of shared species thermal compatibility.,Do not claim a measured pier bite probability or mode-specific response.,,docs/PierCast_Core_Temperature_and_Source_Calibration.md
ludington_mi,chinook_salmon,fall_harbor_staging,admit,A,T001,Wisconsin Department of Natural Resources,Wisconsin DNR Chinook salmon fact sheet,,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Species_chinooksalmon.pdf,,,,thermal_compatibility,Constrain the direction and breadth of shared species thermal compatibility.,Do not claim a measured pier bite probability or mode-specific response.,,docs/PierCast_Core_Temperature_and_Source_Calibration.md
ludington_mi,chinook_salmon,fall_harbor_staging,admit,A,T006,Primary source named in registry,"Adlerstein et al., Lake Michigan Chinook movement and assessment catch",,https://academic.oup.com/tafs/article/137/3/736/7888693,,,,thermal_compatibility,Constrain the direction and breadth of shared species thermal compatibility.,Do not claim a measured pier bite probability or mode-specific response.,,docs/PierCast_Core_Temperature_and_Source_Calibration.md
ludington_mi,coho_salmon,,admit,A,F2,Michigan Department of Natural Resources,"April 12, 2023",2023-04-12,https://content.govdelivery.com/accounts/MIDNR/bulletins/3548e2b,,,,local_identity_timing_and_targetability,"Support species identity, local pier relevance, timing, method, or qualitative event strength as explicitly reported.",Do not convert one event into annual frequency or city CPUE.,Ludington brown/steelhead/coho; Manistee brown/coho/lake trout and Menominee; south-pier closure also noted historically.,docs/PierCast_Pilot_Cities_Research.md
ludington_mi,coho_salmon,,admit,A,F7,Michigan Department of Natural Resources,"September 26, 2019",2019-09-26,https://content.govdelivery.com/accounts/MIDNR/bulletins/261ba5c,,,,local_identity_timing_and_targetability,"Support species identity, local pier relevance, timing, method, or qualitative event strength as explicitly reported.",Do not convert one event into annual frequency or city CPUE.,Frankfort pier Chinook/coho/steelhead; Ludington pier small coho. Historical.,docs/PierCast_Pilot_Cities_Research.md
ludington_mi,coho_salmon,,admit,A,F9,Michigan Department of Natural Resources,"May 5, 2021",2021-05-05,https://content.govdelivery.com/accounts/MIDNR/bulletins/2d7cf51,,,,local_identity_timing_and_targetability,"Support species identity, local pier relevance, timing, method, or qualitative event strength as explicitly reported.",Do not convert one event into annual frequency or city CPUE.,Ludington coho and stub-pier smallmouth.,docs/PierCast_Pilot_Cities_Research.md
ludington_mi,coho_salmon,,admit,A,F33,Michigan Department of Natural Resources,"November 8, 2018",2018-11-08,https://content.govdelivery.com/accounts/MIDNR/bulletins/219dc2e,,,,local_identity_timing_and_targetability,"Support species identity, local pier relevance, timing, method, or qualitative event strength as explicitly reported.",Do not convert one event into annual frequency or city CPUE.,Ludington pier/shore steelhead and occasional coho; historical mixed pier/shore scope.,docs/PierCast_Pilot_Cities_Research.md
ludington_mi,coho_salmon,,admit,A,F35,Michigan Department of Natural Resources,"Michigan DNR November 5, 2025",2025-11-05,https://content.govdelivery.com/accounts/MIDNR/bulletins/3fa205d,,,,local_identity_timing_and_targetability,"Support species identity, local pier relevance, timing, method, or qualitative event strength as explicitly reported.",Do not convert one event into annual frequency or city CPUE.,"Ludington/Manistee pier steelhead, Manistee pier coho; reporting suspension due to seasonal staff.",docs/PierCast_Pilot_Cities_Research.md
ludington_mi,coho_salmon,,admit,A,F46,Michigan Department of Natural Resources,"Michigan DNR, Apr. 24, 2024",2024-04-24,https://content.govdelivery.com/accounts/MIDNR/bulletins/3987c22,,,,local_identity_timing_and_targetability,"Support species identity, local pier relevance, timing, method, or qualitative event strength as explicitly reported.",Do not convert one event into annual frequency or city CPUE.,Spring brown/coho/steelhead pier occurrence across pilot ports,docs/PierCast_Core_Species_Seasonal_Calibration.md
ludington_mi,coho_salmon,,admit,A,F49,Michigan Department of Natural Resources,"Michigan DNR, Oct. 16, 2024",2024-10-16,https://content.govdelivery.com/accounts/MIDNR/bulletins/3bc5a97,,,,local_identity_timing_and_targetability,"Support species identity, local pier relevance, timing, method, or qualitative event strength as explicitly reported.",Do not convert one event into annual frequency or city CPUE.,Frankfort excellent steelhead; fall steelhead at other ports,docs/PierCast_Core_Species_Seasonal_Calibration.md
ludington_mi,coho_salmon,spring_nearshore,admit,A,T002,Wisconsin Department of Natural Resources,Wisconsin DNR coho salmon fact sheet,,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Species_cohosalmon.pdf,,,,thermal_compatibility,Constrain the direction and breadth of shared species thermal compatibility.,Do not claim a measured pier bite probability or mode-specific response.,,docs/PierCast_Core_Temperature_and_Source_Calibration.md
