pairKey,localDate,temperatureSuitability,v2SeasonalRating,v2Score,v3ActiveMode,v3FisheryStrength,v3SeasonalAvailability,v3SeasonalPotential,v3Score,deltaV3MinusV2,regulationOpen,resultStatus
"ludington_mi/chinook_salmon","2027-01-01",0,1,1,"fall_harbor_staging",8.3,0,1,1,0,"true","available"
"ludington_mi/chinook_salmon","2027-01-01",0.25,1,1,"fall_harbor_staging",8.3,0,1,1,0,"true","available"
"ludington_mi/chinook_salmon","2027-01-01",0.5,1,1,"fall_harbor_staging",8.3,0,1,1,0,"true","available"
"ludington_mi/chinook_salmon","2027-01-01",0.75,1,1,"fall_harbor_staging",8.3,0,1,1,0,"true","available"
"ludington_mi/chinook_salmon","2027-01-01",1,1,1,"fall_harbor_staging",8.3,0,1,1,0,"true","available"
"ludington_mi/chinook_salmon","2027-01-08",0,1,1,"fall_harbor_staging",8.3,0,1,1,0,"true","available"
"ludington_mi/chinook_salmon","2027-01-08",0.25,1,1,"fall_harbor_staging",8.3,0,1,1,0,"true","available"
"ludington_mi/chinook_salmon","2027-01-08",0.5,1,1,"fall_harbor_staging",8.3,0,1,1,0,"true","available"
"ludington_mi/chinook_salmon","2027-01-08",0.75,1,1,"fall_harbor_staging",8.3,0,1,1,0,"true","available"
"ludington_mi/chinook_salmon","2027-01-08",1,1,1,"fall_harbor_staging",8.3,0,1,1,0,"true","available"
"ludington_mi/chinook_salmon","2027-01-15",0,1,1,"fall_harbor_staging",8.3,0,1,1,0,"true","available"
"ludington_mi/chinook_salmon","2027-01-15",0.25,1,1,"fall_harbor_staging",8.3,0,1,1,0,"true","available"
"ludington_mi/chinook_salmon","2027-01-15",0.5,1,1,"fall_harbor_staging",8.3,0,1,1,0,"true","available"
"ludington_mi/chinook_salmon","2027-01-15",0.75,1,1,"fall_harbor_staging",8.3,0,1,1,0,"true","available"
"ludington_mi/chinook_salmon","2027-01-15",1,1,1,"fall_harbor_staging",8.3,0,1,1,0,"true","available"
"ludington_mi/chinook_salmon","2027-01-22",0,1.0233,1.007,"fall_harbor_staging",8.3,0,1,1,-0.007,"true","available"
"ludington_mi/chinook_salmon","2027-01-22",0.25,1.0233,1.0114,"fall_harbor_staging",8.3,0,1,1,-0.0114,"true","available"
"ludington_mi/chinook_salmon","2027-01-22",0.5,1.0233,1.0158,"fall_harbor_staging",8.3,0,1,1,-0.0158,"true","available"
"ludington_mi/chinook_salmon","2027-01-22",0.75,1.0233,1.0201,"fall_harbor_staging",8.3,0,1,1,-0.0201,"true","available"
"ludington_mi/chinook_salmon","2027-01-22",1,1.0233,1.0245,"fall_harbor_staging",8.3,0,1,1,-0.0245,"true","available"
"ludington_mi/chinook_salmon","2027-01-29",0,1.0467,1.014,"fall_harbor_staging",8.3,0,1,1,-0.014,"true","available"
"ludington_mi/chinook_salmon","2027-01-29",0.25,1.0467,1.0228,"fall_harbor_staging",8.3,0,1,1,-0.0228,"true","available"
"ludington_mi/chinook_salmon","2027-01-29",0.5,1.0467,1.0315,"fall_harbor_staging",8.3,0,1,1,-0.0315,"true","available"
"ludington_mi/chinook_salmon","2027-01-29",0.75,1.0467,1.0402,"fall_harbor_staging",8.3,0,1,1,-0.0402,"true","available"
"ludington_mi/chinook_salmon","2027-01-29",1,1.0467,1.049,"fall_harbor_staging",8.3,0,1,1,-0.049,"true","available"
"ludington_mi/chinook_salmon","2027-02-05",0,1.07,1.021,"fall_harbor_staging",8.3,0,1,1,-0.021,"true","available"
"ludington_mi/chinook_salmon","2027-02-05",0.25,1.07,1.0341,"fall_harbor_staging",8.3,0,1,1,-0.0341,"true","available"
"ludington_mi/chinook_salmon","2027-02-05",0.5,1.07,1.0473,"fall_harbor_staging",8.3,0,1,1,-0.0473,"true","available"
"ludington_mi/chinook_salmon","2027-02-05",0.75,1.07,1.0604,"fall_harbor_staging",8.3,0,1,1,-0.0604,"true","available"
"ludington_mi/chinook_salmon","2027-02-05",1,1.07,1.0735,"fall_harbor_staging",8.3,0,1,1,-0.0735,"true","available"
"ludington_mi/chinook_salmon","2027-02-12",0,1.0933,1.028,"fall_harbor_staging",8.3,0,1,1,-0.028,"true","available"
"ludington_mi/chinook_salmon","2027-02-12",0.25,1.0933,1.0455,"fall_harbor_staging",8.3,0,1,1,-0.0455,"true","available"
"ludington_mi/chinook_salmon","2027-02-12",0.5,1.0933,1.063,"fall_harbor_staging",8.3,0,1,1,-0.063,"true","available"
"ludington_mi/chinook_salmon","2027-02-12",0.75,1.0933,1.0805,"fall_harbor_staging",8.3,0,1,1,-0.0805,"true","available"
"ludington_mi/chinook_salmon","2027-02-12",1,1.0933,1.098,"fall_harbor_staging",8.3,0,1,1,-0.098,"true","available"
"ludington_mi/chinook_salmon","2027-02-19",0,1.1167,1.035,"fall_harbor_staging",8.3,0,1,1,-0.035,"true","available"
"ludington_mi/chinook_salmon","2027-02-19",0.25,1.1167,1.0569,"fall_harbor_staging",8.3,0,1,1,-0.0569,"true","available"
"ludington_mi/chinook_salmon","2027-02-19",0.5,1.1167,1.0788,"fall_harbor_staging",8.3,0,1,1,-0.0788,"true","available"
"ludington_mi/chinook_salmon","2027-02-19",0.75,1.1167,1.1006,"fall_harbor_staging",8.3,0,1,1,-0.1006,"true","available"
"ludington_mi/chinook_salmon","2027-02-19",1,1.1167,1.1225,"fall_harbor_staging",8.3,0,1,1,-0.1225,"true","available"
"ludington_mi/chinook_salmon","2027-02-26",0,1.14,1.042,"fall_harbor_staging",8.3,0,1,1,-0.042,"true","available"
"ludington_mi/chinook_salmon","2027-02-26",0.25,1.14,1.0683,"fall_harbor_staging",8.3,0,1,1,-0.0683,"true","available"
"ludington_mi/chinook_salmon","2027-02-26",0.5,1.14,1.0945,"fall_harbor_staging",8.3,0,1,1,-0.0945,"true","available"
"ludington_mi/chinook_salmon","2027-02-26",0.75,1.14,1.1208,"fall_harbor_staging",8.3,0,1,1,-0.1208,"true","available"
"ludington_mi/chinook_salmon","2027-02-26",1,1.14,1.147,"fall_harbor_staging",8.3,0,1,1,-0.147,"true","available"
"ludington_mi/chinook_salmon","2027-03-05",0,1.1633,1.049,"fall_harbor_staging",8.3,0,1,1,-0.049,"true","available"
"ludington_mi/chinook_salmon","2027-03-05",0.25,1.1633,1.0796,"fall_harbor_staging",8.3,0,1,1,-0.0796,"true","available"
