cityId,cityName,speciesId,pairKey,peakFisheryStrength,peakModeId,evidenceGrades,calibrationLineage,magnitudeEvidence,auditDecision,confidencePenaltyFound,auditRationale,evidenceIds
ludington_mi,Ludington,chinook_salmon,ludington_mi/chinook_salmon,8.3,fall_harbor_staging,A,core,direct_port_pier_dock_quantitative_or_matched_extract,retain,false,"Retained: multi-year Michigan DNR port/month Pier/Dock estimates, matched all-species effort and recurring dated reports set the absolute peak; evidence grade is not used in score arithmetic.",F10|F41|F43|F44|F45|F5|F6
ludington_mi,Ludington,coho_salmon,ludington_mi/coho_salmon,5.6,fall_harbor_staging,A,core,direct_port_pier_dock_quantitative_or_matched_extract,retain,false,"Retained: multi-year Michigan DNR port/month Pier/Dock estimates, matched all-species effort and recurring dated reports set the absolute peak; evidence grade is not used in score arithmetic.",F2|F33|F35|F46|F49|F7|F9
ludington_mi,Ludington,steelhead,ludington_mi/steelhead,8.1,fall_harbor_staging,A,core,direct_port_pier_dock_quantitative_or_matched_extract,retain,false,"Retained: multi-year Michigan DNR port/month Pier/Dock estimates, matched all-species effort and recurring dated reports set the absolute peak; evidence grade is not used in score arithmetic.",F1|F2|F3|F33|F35|F4|F49|F50
ludington_mi,Ludington,brown_trout,ludington_mi/brown_trout,7.6,spring_nearshore,A,core,direct_port_pier_dock_quantitative_or_matched_extract,retain,false,"Retained: multi-year Michigan DNR port/month Pier/Dock estimates, matched all-species effort and recurring dated reports set the absolute peak; evidence grade is not used in score arithmetic.",F1|F2|F39|F46|F47|M2
grand_haven_mi,Grand Haven,chinook_salmon,grand_haven_mi/chinook_salmon,7.8,fall_harbor_staging,A,core,direct_port_pier_dock_quantitative_or_matched_extract,retain,false,"Retained: multi-year Michigan DNR port/month Pier/Dock estimates, matched all-species effort and recurring dated reports set the absolute peak; evidence grade is not used in score arithmetic.",F12|F18|F43|F44|F45|F48|M1
grand_haven_mi,Grand Haven,coho_salmon,grand_haven_mi/coho_salmon,8.8,fall_harbor_staging,A,core,direct_port_pier_dock_quantitative_or_matched_extract,retain,false,"Retained: multi-year Michigan DNR port/month Pier/Dock estimates, matched all-species effort and recurring dated reports set the absolute peak; evidence grade is not used in score arithmetic.",F16|F17|F37|F46|F47|F52|M1
grand_haven_mi,Grand Haven,steelhead,grand_haven_mi/steelhead,9.2,fall_harbor_staging,A,core,direct_port_pier_dock_quantitative_or_matched_extract,retain,false,"Retained: multi-year Michigan DNR port/month Pier/Dock estimates, matched all-species effort and recurring dated reports set the absolute peak; evidence grade is not used in score arithmetic.",F13|F14|F15|F34|F38|F42|F43|F49|F50
grand_haven_mi,Grand Haven,brown_trout,grand_haven_mi/brown_trout,7.6,spring_nearshore,A,core,direct_port_pier_dock_quantitative_or_matched_extract,retain,false,"Retained: multi-year Michigan DNR port/month Pier/Dock estimates, matched all-species effort and recurring dated reports set the absolute peak; evidence grade is not used in score arithmetic.",F13|F16|F36|F46|F47|M2
manistee_mi,Manistee,chinook_salmon,manistee_mi/chinook_salmon,9.5,fall_harbor_staging,A,core,direct_port_pier_dock_quantitative_or_matched_extract,retain,false,"Retained: multi-year Michigan DNR port/month Pier/Dock estimates, matched all-species effort and recurring dated reports set the absolute peak; evidence grade is not used in score arithmetic.",F10|F41|F43|F44|F45|F5|F51|F6
manistee_mi,Manistee,coho_salmon,manistee_mi/coho_salmon,8.2,fall_harbor_staging,A,core,direct_port_pier_dock_quantitative_or_matched_extract,retain,false,"Retained: multi-year Michigan DNR port/month Pier/Dock estimates, matched all-species effort and recurring dated reports set the absolute peak; evidence grade is not used in score arithmetic.",A12|F2|F25|F26|F35|F36|F41|F51
manistee_mi,Manistee,steelhead,manistee_mi/steelhead,10,fall_harbor_staging,A,core,direct_port_pier_dock_quantitative_or_matched_extract,retain,false,"Retained: multi-year Michigan DNR port/month Pier/Dock estimates, matched all-species effort and recurring dated reports set the absolute peak; evidence grade is not used in score arithmetic.",A12|F1|F23|F24|F25|F27|F3|F35|F4|F42|F49
manistee_mi,Manistee,brown_trout,manistee_mi/brown_trout,8.2,spring_nearshore,A,core,direct_port_pier_dock_quantitative_or_matched_extract,retain,false,"Retained: multi-year Michigan DNR port/month Pier/Dock estimates, matched all-species effort and recurring dated reports set the absolute peak; evidence grade is not used in score arithmetic.",F1|F2|F23|F27|F29|F36|F39|F47|M2
frankfort_elberta_mi,Frankfort–Elberta,chinook_salmon,frankfort_elberta_mi/chinook_salmon,9.7,fall_harbor_staging,A,core,direct_port_pier_dock_quantitative_or_matched_extract,retain,false,"Retained: multi-year Michigan DNR port/month Pier/Dock estimates, matched all-species effort and recurring dated reports set the absolute peak; evidence grade is not used in score arithmetic.",F18|F30|F40|F43|F48|F7
frankfort_elberta_mi,Frankfort–Elberta,coho_salmon,frankfort_elberta_mi/coho_salmon,8.6,fall_harbor_staging,A,core,direct_port_pier_dock_quantitative_or_matched_extract,retain,false,"Retained: multi-year Michigan DNR port/month Pier/Dock estimates, matched all-species effort and recurring dated reports set the absolute peak; evidence grade is not used in score arithmetic.",F25|F3|F48|F49|F7|M1
frankfort_elberta_mi,Frankfort–Elberta,steelhead,frankfort_elberta_mi/steelhead,9.8,fall_harbor_staging,A,core,direct_port_pier_dock_quantitative_or_matched_extract,retain,false,"Retained: multi-year Michigan DNR port/month Pier/Dock estimates, matched all-species effort and recurring dated reports set the absolute peak; evidence grade is not used in score arithmetic.",F1|F19|F25|F3|F31|F35|F46|F49|F7
frankfort_elberta_mi,Frankfort–Elberta,brown_trout,frankfort_elberta_mi/brown_trout,7.5,spring_nearshore,A,core,direct_port_pier_dock_quantitative_or_matched_extract,retain,false,"Retained: multi-year Michigan DNR port/month Pier/Dock estimates, matched all-species effort and recurring dated reports set the absolute peak; evidence grade is not used in score arithmetic.",F1|F30|F46|M2
ludington_mi,Ludington,lake_trout,ludington_mi/lake_trout,3.8,cold_season_nearshore,B,secondary,direct_port_pier_dock_quantitative_or_matched_extract,retain,false,"Retained: Michigan DNR Pier/Dock recurrence and relative catch per 1,000 all-species hours set cross-port magnitude; sparse strata or missing directed effort remain confidence limitations only.",B_2521a66|B_257279c|MI_CREEL|MI_STOCKING|SECONDARY_MI_ROADMAP|THERMAL_LAKE_TROUT_USGS
ludington_mi,Ludington,smallmouth_bass,ludington_mi/smallmouth_bass,5.8,warm_season_harbor,B,secondary,direct_port_pier_dock_quantitative_or_matched_extract,retain,false,"Retained: Michigan DNR Pier/Dock recurrence and relative catch per 1,000 all-species hours set cross-port magnitude; sparse strata or missing directed effort remain confidence limitations only.",B_2d7cf51|B_2e736eb|B_364ea3a|B_3eeac7b|B_41407c5|B_425abbc|MI_CREEL|THERMAL_SMALLMOUTH_WIDNR
ludington_mi,Ludington,freshwater_drum,ludington_mi/freshwater_drum,5,warm_season_bottom_fishery,B,secondary,direct_port_pier_dock_quantitative_or_matched_extract,retain,false,"Retained: Michigan DNR Pier/Dock recurrence and relative catch per 1,000 all-species hours set cross-port magnitude; sparse strata or missing directed effort remain confidence limitations only.",B_421929e|B_423b34d|MI_CREEL|THERMAL_DRUM_USGS
ludington_mi,Ludington,yellow_perch,ludington_mi/yellow_perch,7.6,summer_harbor_schooling,A,secondary,direct_port_pier_dock_quantitative_or_matched_extract,retain,false,"Retained: Michigan DNR Pier/Dock recurrence and relative catch per 1,000 all-species hours set cross-port magnitude; sparse strata or missing directed effort remain confidence limitations only.",B_323f6bf|B_35ed629|B_3614332|B_364ea3a|B_3675eed|MI_CREEL|SECONDARY_MI_ROADMAP|THERMAL_PERCH_USGS
grand_haven_mi,Grand Haven,lake_trout,grand_haven_mi/lake_trout,3.6,cold_season_nearshore,B,secondary,direct_port_pier_dock_quantitative_or_matched_extract,retain,false,"Retained: Michigan DNR Pier/Dock recurrence and relative catch per 1,000 all-species hours set cross-port magnitude; sparse strata or missing directed effort remain confidence limitations only.",MI_CREEL|MI_STOCKING|SECONDARY_MI_ROADMAP|THERMAL_LAKE_TROUT_USGS
grand_haven_mi,Grand Haven,smallmouth_bass,grand_haven_mi/smallmouth_bass,7,warm_season_harbor,B,secondary,direct_port_pier_dock_quantitative_or_matched_extract,retain,false,"Retained: Michigan DNR Pier/Dock recurrence and relative catch per 1,000 all-species hours set cross-port magnitude; sparse strata or missing directed effort remain confidence limitations only.",B_207cdc1|B_3e9b7f3|B_3ebb776|B_425abbc|MI_CREEL|THERMAL_SMALLMOUTH_WIDNR
grand_haven_mi,Grand Haven,freshwater_drum,grand_haven_mi/freshwater_drum,7.2,warm_season_bottom_fishery,A,secondary,direct_port_pier_dock_quantitative_or_matched_extract,retain,false,"Retained: Michigan DNR Pier/Dock recurrence and relative catch per 1,000 all-species hours set cross-port magnitude; sparse strata or missing directed effort remain confidence limitations only.",B_3588f66|B_3614332|B_36281c5|B_3a65224|B_41a3a94|B_41b62ae|B_41c718b|B_41e9e6e|B_4280cb4|MI_CREEL|THERMAL_DRUM_USGS
