city_id,city_name,port,species_id,dashboard_species,period,catch_estimate,matched_all_species_hours,catch_per_1000_matched_all_species_hours,positive_month_year_strata,enumerated_month_year_strata,positive_years,limitation
st_joseph_mi,St. Joseph,UNRESOLVED_DASHBOARD_LABEL,chinook_salmon,Chinook Salmon,full_export,0,0,,0,0,0,"No St. Joseph dashboard label resolved in Pass 1; empty rows are missing coverage, never biological zeros."
st_joseph_mi,St. Joseph,UNRESOLVED_DASHBOARD_LABEL,chinook_salmon,Chinook Salmon,modern_2012_2022_excluding_2020,0,0,,0,0,0,"No St. Joseph dashboard label resolved in Pass 1; empty rows are missing coverage, never biological zeros."
st_joseph_mi,St. Joseph,UNRESOLVED_DASHBOARD_LABEL,chinook_salmon,Chinook Salmon,recent_2018_2022_excluding_2020,0,0,,0,0,0,"No St. Joseph dashboard label resolved in Pass 1; empty rows are missing coverage, never biological zeros."
st_joseph_mi,St. Joseph,UNRESOLVED_DASHBOARD_LABEL,coho_salmon,Coho Salmon,full_export,0,0,,0,0,0,"No St. Joseph dashboard label resolved in Pass 1; empty rows are missing coverage, never biological zeros."
st_joseph_mi,St. Joseph,UNRESOLVED_DASHBOARD_LABEL,coho_salmon,Coho Salmon,modern_2012_2022_excluding_2020,0,0,,0,0,0,"No St. Joseph dashboard label resolved in Pass 1; empty rows are missing coverage, never biological zeros."
st_joseph_mi,St. Joseph,UNRESOLVED_DASHBOARD_LABEL,coho_salmon,Coho Salmon,recent_2018_2022_excluding_2020,0,0,,0,0,0,"No St. Joseph dashboard label resolved in Pass 1; empty rows are missing coverage, never biological zeros."
st_joseph_mi,St. Joseph,UNRESOLVED_DASHBOARD_LABEL,steelhead,Steelhead,full_export,0,0,,0,0,0,"No St. Joseph dashboard label resolved in Pass 1; empty rows are missing coverage, never biological zeros."
st_joseph_mi,St. Joseph,UNRESOLVED_DASHBOARD_LABEL,steelhead,Steelhead,modern_2012_2022_excluding_2020,0,0,,0,0,0,"No St. Joseph dashboard label resolved in Pass 1; empty rows are missing coverage, never biological zeros."
st_joseph_mi,St. Joseph,UNRESOLVED_DASHBOARD_LABEL,steelhead,Steelhead,recent_2018_2022_excluding_2020,0,0,,0,0,0,"No St. Joseph dashboard label resolved in Pass 1; empty rows are missing coverage, never biological zeros."
st_joseph_mi,St. Joseph,UNRESOLVED_DASHBOARD_LABEL,brown_trout,Brown Trout,full_export,0,0,,0,0,0,"No St. Joseph dashboard label resolved in Pass 1; empty rows are missing coverage, never biological zeros."
st_joseph_mi,St. Joseph,UNRESOLVED_DASHBOARD_LABEL,brown_trout,Brown Trout,modern_2012_2022_excluding_2020,0,0,,0,0,0,"No St. Joseph dashboard label resolved in Pass 1; empty rows are missing coverage, never biological zeros."
st_joseph_mi,St. Joseph,UNRESOLVED_DASHBOARD_LABEL,brown_trout,Brown Trout,recent_2018_2022_excluding_2020,0,0,,0,0,0,"No St. Joseph dashboard label resolved in Pass 1; empty rows are missing coverage, never biological zeros."
st_joseph_mi,St. Joseph,UNRESOLVED_DASHBOARD_LABEL,lake_trout,Lean Lake Trout,full_export,0,0,,0,0,0,"No St. Joseph dashboard label resolved in Pass 1; empty rows are missing coverage, never biological zeros."
st_joseph_mi,St. Joseph,UNRESOLVED_DASHBOARD_LABEL,lake_trout,Lean Lake Trout,modern_2012_2022_excluding_2020,0,0,,0,0,0,"No St. Joseph dashboard label resolved in Pass 1; empty rows are missing coverage, never biological zeros."
st_joseph_mi,St. Joseph,UNRESOLVED_DASHBOARD_LABEL,lake_trout,Lean Lake Trout,recent_2018_2022_excluding_2020,0,0,,0,0,0,"No St. Joseph dashboard label resolved in Pass 1; empty rows are missing coverage, never biological zeros."
