cityId,cityName,speciesId,speciesName,disposition,evidenceGrade,annualPeakScore,status
"chicago_il","Chicago, Illinois","chinook_salmon","Chinook salmon","numeric_private","B","7","PRIVATE_NUMERIC"
"chicago_il","Chicago, Illinois","coho_salmon","Coho salmon","numeric_private","B","8.2","PRIVATE_NUMERIC"
"chicago_il","Chicago, Illinois","steelhead","Steelhead","numeric_private","B","6.5","PRIVATE_NUMERIC"
"chicago_il","Chicago, Illinois","brown_trout","Brown trout","numeric_private","B","6.2","PRIVATE_NUMERIC"
"chicago_il","Chicago, Illinois","lake_trout","Lake trout","numeric_private","B","5.4","PRIVATE_NUMERIC"
"chicago_il","Chicago, Illinois","walleye","Walleye","exclude_unscored","D","","UNSCORED"
"chicago_il","Chicago, Illinois","smallmouth_bass","Smallmouth bass","numeric_private","B","6.5","PRIVATE_NUMERIC"
"chicago_il","Chicago, Illinois","freshwater_drum","Freshwater drum","numeric_private","B","5.6","PRIVATE_NUMERIC"
"chicago_il","Chicago, Illinois","yellow_perch","Yellow perch","numeric_private","A","8.4","PRIVATE_NUMERIC"
"chicago_il","Chicago, Illinois","lake_whitefish","Lake whitefish","research_hold_unscored","C","","UNSCORED"
"chicago_il","Chicago, Illinois","round_whitefish","Round whitefish","exclude_unscored","D","","UNSCORED"
"chicago_il","Chicago, Illinois","channel_catfish","Channel catfish","research_hold_unscored","C","","UNSCORED"
"chicago_il","Chicago, Illinois","largemouth_bass","Largemouth bass","research_hold_unscored","C","","UNSCORED"
"chicago_il","Chicago, Illinois","atlantic_salmon","Atlantic salmon","exclude_unscored","D","","UNSCORED"
"chicago_il","Chicago, Illinois","northern_pike","Northern pike","numeric_private","B","4.7","PRIVATE_NUMERIC"
"chicago_il","Chicago, Illinois","burbot","Burbot","research_hold_unscored","C","","UNSCORED"
"chicago_il","Chicago, Illinois","white_perch","White perch","exclude_unscored","D","","UNSCORED"
"chicago_il","Chicago, Illinois","white_bass","White bass","research_hold_unscored","C","","UNSCORED"
"chicago_il","Chicago, Illinois","bluegill","Bluegill","research_hold_unscored","C","","UNSCORED"
"michigan_city_in","Michigan City, Indiana","chinook_salmon","Chinook salmon","numeric_private","B","7.4","PRIVATE_NUMERIC"
"michigan_city_in","Michigan City, Indiana","coho_salmon","Coho salmon","numeric_private","B","8.7","PRIVATE_NUMERIC"
"michigan_city_in","Michigan City, Indiana","steelhead","Steelhead","numeric_private","B","8.5","PRIVATE_NUMERIC"
"michigan_city_in","Michigan City, Indiana","brown_trout","Brown trout","numeric_private","B","6","PRIVATE_NUMERIC"
"michigan_city_in","Michigan City, Indiana","lake_trout","Lake trout","research_hold_unscored","C","","UNSCORED"
"michigan_city_in","Michigan City, Indiana","walleye","Walleye","research_hold_unscored","C","","UNSCORED"
"michigan_city_in","Michigan City, Indiana","smallmouth_bass","Smallmouth bass","numeric_private","B","5.7","PRIVATE_NUMERIC"
"michigan_city_in","Michigan City, Indiana","freshwater_drum","Freshwater drum","research_hold_unscored","C","","UNSCORED"
"michigan_city_in","Michigan City, Indiana","yellow_perch","Yellow perch","numeric_private","B","6.2","PRIVATE_NUMERIC"
"michigan_city_in","Michigan City, Indiana","lake_whitefish","Lake whitefish","research_hold_unscored","C","","UNSCORED"
"michigan_city_in","Michigan City, Indiana","round_whitefish","Round whitefish","exclude_unscored","D","","UNSCORED"
"michigan_city_in","Michigan City, Indiana","channel_catfish","Channel catfish","research_hold_unscored","C","","UNSCORED"
"michigan_city_in","Michigan City, Indiana","largemouth_bass","Largemouth bass","numeric_private","B","5.5","PRIVATE_NUMERIC"
"michigan_city_in","Michigan City, Indiana","atlantic_salmon","Atlantic salmon","exclude_unscored","D","","UNSCORED"
"michigan_city_in","Michigan City, Indiana","northern_pike","Northern pike","exclude_unscored","D","","UNSCORED"
"michigan_city_in","Michigan City, Indiana","burbot","Burbot","exclude_unscored","D","","UNSCORED"
"michigan_city_in","Michigan City, Indiana","white_perch","White perch","exclude_unscored","D","","UNSCORED"
