cityId,cityName,speciesId,decision,evidenceStatus,numericAdmission,claim,sourceIds,nextEvidence
"chicago_il","Chicago, Illinois","chinook_salmon","research_candidate","candidate_for_pass_2_quantification","not_assessed_in_pass_1","Montrose pedestrian creel recorded Chinook in September 2024 and current Horseshoe reports recur in the fall.","CHI_INHS_CREEL_2024;CHI_PARK_BAIT_2026","Quantify covered-structure chinook_salmon season, intentional effort, catch recurrence, uncertainty, and mode transfer risk in Pass 2."
"chicago_il","Chicago, Illinois","coho_salmon","research_candidate","candidate_for_pass_2_quantification","not_assessed_in_pass_1","Montrose has direct spring and fall coho creel evidence, with strong regional spring shore context.","CHI_INHS_CREEL_2023;CHI_INHS_CREEL_2024;CHI_PARK_BAIT_2026","Quantify covered-structure coho_salmon season, intentional effort, catch recurrence, uncertainty, and mode transfer risk in Pass 2."
"chicago_il","Chicago, Illinois","steelhead","research_candidate","candidate_for_pass_2_quantification","not_assessed_in_pass_1","Current Montrose reports name steelhead in the harbor; citywide agency guidance supports cold-season shore trout.","CHI_CPD_FISHING_AREAS;CHI_PARK_BAIT_2026","Quantify covered-structure steelhead season, intentional effort, catch recurrence, uncertainty, and mode transfer risk in Pass 2."
"chicago_il","Chicago, Illinois","brown_trout","research_candidate","candidate_for_pass_2_quantification","not_assessed_in_pass_1","Montrose pedestrian creel recorded brown trout in April and May 2024, corroborated by current shore reports.","CHI_INHS_CREEL_2024;CHI_PARK_BAIT_2026","Quantify covered-structure brown_trout season, intentional effort, catch recurrence, uncertainty, and mode transfer risk in Pass 2."
"chicago_il","Chicago, Illinois","lake_trout","research_candidate","candidate_for_pass_2_quantification","not_assessed_in_pass_1","Navy Pier and the Chicago winter lakefront have repeated expert/specialist lake-trout reports; this winter opportunity requires Pass 2 quantification rather than a fall-only model.","CHI_LAKE_TROUT_2023;CHI_MWO_WINTER_2025;CHI_IDNR_LAKE_MICHIGAN","Quantify covered-structure lake_trout season, intentional effort, catch recurrence, uncertainty, and mode transfer risk in Pass 2."
"chicago_il","Chicago, Illinois","walleye","exclude","no_reviewed_covered_structure_lead","not_assessed_in_pass_1","No credible recurring lead for the covered public structure was found in the reviewed sources. This is an evidence disposition, not a biological absence claim.","CHI_CPD_FISHING_AREAS;CHI_CPD_MONTROSE_PIER;CHI_NAVY_PASS;IL_RULES_2026","Reopen only if new covered-structure walleye evidence is found; do not interpret this row as proof of absence."
"chicago_il","Chicago, Illinois","smallmouth_bass","research_candidate","candidate_for_pass_2_quantification","not_assessed_in_pass_1","Named agency or recurring exact-area evidence supports this species as a Pass 2 research candidate; no numeric admission is implied.","CHI_CPD_FISHING_AREAS;CHI_PARK_BAIT_2026","Quantify covered-structure smallmouth_bass season, intentional effort, catch recurrence, uncertainty, and mode transfer risk in Pass 2."
"chicago_il","Chicago, Illinois","freshwater_drum","research_candidate","candidate_for_pass_2_quantification","not_assessed_in_pass_1","Named agency or recurring exact-area evidence supports this species as a Pass 2 research candidate; no numeric admission is implied.","CHI_CPD_FISHING_AREAS;CHI_PARK_BAIT_2026","Quantify covered-structure freshwater_drum season, intentional effort, catch recurrence, uncertainty, and mode transfer risk in Pass 2."
"chicago_il","Chicago, Illinois","yellow_perch","research_candidate","candidate_for_pass_2_quantification","not_assessed_in_pass_1","Montrose summer and Navy Pier winter pedestrian data establish two major, distinct seasonal windows.","CHI_INHS_CREEL_2023;CHI_INHS_CREEL_2024;IL_RULES_2026","Quantify covered-structure yellow_perch season, intentional effort, catch recurrence, uncertainty, and mode transfer risk in Pass 2."
"chicago_il","Chicago, Illinois","lake_whitefish","hold","occurrence_lead_requires_more_evidence","not_assessed_in_pass_1","An exact Montrose record fish is a credible occurrence, but no recurring target series was found.","CHI_RARE_2017;IL_RULES_2026","Find repeated, current, species-specific lake_whitefish target/catch evidence at the covered structure before numeric consideration."
"chicago_il","Chicago, Illinois","round_whitefish","exclude","no_reviewed_covered_structure_lead","not_assessed_in_pass_1","No credible recurring lead for the covered public structure was found in the reviewed sources. This is an evidence disposition, not a biological absence claim.","CHI_CPD_FISHING_AREAS;CHI_CPD_MONTROSE_PIER;CHI_NAVY_PASS;IL_RULES_2026","Reopen only if new covered-structure round_whitefish evidence is found; do not interpret this row as proof of absence."
"chicago_il","Chicago, Illinois","channel_catfish","hold","occurrence_lead_requires_more_evidence","not_assessed_in_pass_1","A credible local occurrence or nearby-mode lead exists, but recurring intentional fishing at the covered structure is not yet established.","CHI_PARK_BAIT_2026","Find repeated, current, species-specific channel_catfish target/catch evidence at the covered structure before numeric consideration."
"chicago_il","Chicago, Illinois","largemouth_bass","research_candidate","candidate_for_pass_2_quantification","not_assessed_in_pass_1","Named agency or recurring exact-area evidence supports this species as a Pass 2 research candidate; no numeric admission is implied.","CHI_CPD_FISHING_AREAS","Quantify covered-structure largemouth_bass season, intentional effort, catch recurrence, uncertainty, and mode transfer risk in Pass 2."
"chicago_il","Chicago, Illinois","atlantic_salmon","exclude","no_reviewed_covered_structure_lead","not_assessed_in_pass_1","No credible recurring lead for the covered public structure was found in the reviewed sources. This is an evidence disposition, not a biological absence claim.","CHI_CPD_FISHING_AREAS;CHI_CPD_MONTROSE_PIER;CHI_NAVY_PASS;IL_RULES_2026","Reopen only if new covered-structure atlantic_salmon evidence is found; do not interpret this row as proof of absence."
"chicago_il","Chicago, Illinois","northern_pike","research_candidate","candidate_for_pass_2_quantification","not_assessed_in_pass_1","Named agency or recurring exact-area evidence supports this species as a Pass 2 research candidate; no numeric admission is implied.","CHI_PARK_BAIT_2026","Quantify covered-structure northern_pike season, intentional effort, catch recurrence, uncertainty, and mode transfer risk in Pass 2."
"chicago_il","Chicago, Illinois","burbot","hold","occurrence_lead_requires_more_evidence","not_assessed_in_pass_1","An exact Montrose state-record catch establishes occurrence only.","CHI_RARE_2017","Find repeated, current, species-specific burbot target/catch evidence at the covered structure before numeric consideration."
